Company; Position; Rate; ApplicationDate; Link; Status; StatusDate; Comment
Fleetworthy; Senior Software Engineer;;1/2/26; https://www.glassdoor.com/job-listing/senior-software-engineer-fleetworthy-JV_KO0,24_KE25,36.htm?jl=1009983855416&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos11-age1d-1009983855416&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jdvku8ttgmsn802-4ce36ccd7e0cd09e&cs=1_cada53ed&s=224&t=JA&pos=111&ja=378462087&guid=0000019b7f3a426e8d86f83f6fbf75b3&jobListingId=1009983855416&ea=1&vt=e&cb=1767367452936&ctt=1767386697674&srs=EMAIL_JOB_ALERT&gdir=1; ;
UC Health; IT Programmer Analyst, Full Time, First Shift;;1/2/26; https://www.monster.com/jobs/search?q=It+Programmer+Analyst%2C+Full+Time%2C+First+Shift&where=Remote+-+IN%2C+KY%2C+OH%2C+US&page=1&et=REMOTE&id=de29049a-92b0-4113-90d5-ba1d85727df6&sourceName=distribution_alerts_relevancy&sourceValue=6d9efabb-2d5a-49f0-83cd-7a34a83f8e9a&mstr_dist=true&sid=email_file_acd754c2-fab3-4b61-a73a-6f6351a3c767&sts=1767293030803&utm_source=email&utm_medium=email_alerts&utm_campaign=nextalerts_lexemelite&utm_term=usen_MCJOBS_ORGANIC&utm_content=ViewJob_text_body; ;
Patriot Talent Solutions; Back End Developer;;1/2/26; https://www.linkedin.com/jobs/view/4350831735/?eBP=NOT_ELIGIBLE_FOR_CHARGING&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body&refId=Rs0%2F0vbSRMWNzGqbXhz4Yg%3D%3D&trackingId=l74xZbl4SO2XdcA1EL5iSA%3D%3D; ; ; Remote
Involgix; .Net Programmer;50/hr;1/2/26; https://www.dice.com/job-detail/f45718dd-1d18-44eb-afbc-d048febb9929?utm_source=appcast&utm_medium=aggregator&utm_campaign=linkedin-dice-paid&utm_term=Involgix&utm_content=src-consulting_slots&ccuid=67904235619&_ccid=17670374134041tzyj3n25; ;
Zetron; Full Stack Software Engineer  Blazor Focus;;1/5/26; https://www.indeed.com/viewjob?jk=83c818746702b6d5&tk=1je0bsssbg5ie803&from=serp&vjs=3&advn=136029603942923&adid=52622516&ad=-6NYlbfkN0BLuvW3ws4nftkma_tDioWDZRynjiN12NvQ12R3g0gq9D6OlVd4IUgSRI7ylcxMJAQrVS4G_vHULFuAARB7Ne5aqqWw-iU3BGkFxXBHvz1HhXvITLdcJJPPh5k04xB5lEhwteuz2hRFJcRQnG_8jmzoi8iMT51ljAGR7sUhLQOV4408mSmMFUQw5qouS5Vkod-6m7dKsFa8ljX3X3sARH_1XdUWQAtxH_Xet6XrLBlLzWhDTfOYRRGFixIOmQjnfWBa8szUzHtwyaEo3th46tCzPDlNtpPLTYHBZqPJAYnzMSmEi_a5d41TmOYER-pbxuGmgmblVkTiaUTJLyj-lLnmUXWOnRohL-_6NL4r-QvSiRr5PfYbNs8TJmXjk8lVSeYby8zEPZ8ibZxx844bSinNxix1T7vit9Zkdw-DhhGMgHzh2LX4GXZHUnHfxwSmcyq2njpaFj7AFGIkoC83JeOEDXAE7GbmNV-VS0ZPUB6hNggOxN5asSQvlBCsEGe2qiMS4_nnkbn4uXqNLoFsAhizDcZPUL-0Bec=&xkcb=SoBq6_M3oAferHSxc50IbzkdCdPP&xpse=SoDZ6_I3oAf8RwyenZ0ObzkdCdPP&sjdu=KrExOckDUwcfZdd7bV4mPzSfjhua7l-6nIjy1orA99f-9CF8pZ3iuoFP4vfDMw6Uu6Qf3rclegEBFt49IIK5VcOzGwDJCZrcG9_9R-8DOqe2tEhOgLUyCwoS_ojUmcroAF6dH2I_16GwpxMWtjUBnSJbddq6ZYVpL0gw_n6JhJW2j2weUT_6XGpbyFMZLq4mBn3I06YrjL9xliggytH_0KwLFH35z33eznaPLzfpHLQa0e7iBDOgE8sRkROwi2Ux; ;
Randstad Digital (Cleveland OH, Remote); Sr .NET Developer;58-68/hr;1/5/26; https://www.dice.com/job-detail/7ba982c6-3c0c-46c0-9e2d-e857c6aea6ab; ;
Radiantze; Need .Net Developer - Remote;DOE;1/5/26; https://www.dice.com/job-detail/0e54fe2b-82be-47e1-b044-4cf3e73ad1e0; ;
Genesis10; .Net Developer;65-72/hr;1/5/26; https://www.dice.com/job-detail/01cf19fb-3b10-430e-a4fc-f182ee6ce9e4; ; ; 6 mo contract, no mention of extensions
Stellar IT Solutions; System Software Programmer - Advanced .net;;1/5/26; https://www.dice.com/job-detail/11772cb8-44f7-4114-af9d-adf0c9b7d8de; ; ;12 mo contract
PRS; Senior .NET Blazor Software Engineer - Remote (WASM a plus);125-165k; 1/5/26; https://www.dice.com/job-detail/6aee128c-36dc-426b-b304-193e81b9e0cd; ;
Carrington Holding Company, LLC; Developer -Administrator, Load Origination System;100-130k; 1/5/26; https://jobright.ai/jobs/info/6958525ef1f8465b79eeef55?utm_source=1121&imp_id=3673496432511879909__instant_push__1767398751350_850&utm_medium=email; ;
Saince, Inc.; Full Stack Engineer;;1/5/26; https://www.linkedin.com/jobs/view/4349319257/; ;
Elegant Enterprise Wide Solutions; .NET Developer - Columbia, SC;;1/5/26; https://www.dice.com/job-detail/606c0ee8-db60-4596-b1fe-a34246eda1f3?utm_source=job_alerts&utm_medium=email&utm_content=intellisearch&utm_campaign=10016128&%243p=e_iterable&_branch_match_id=1534279828681668966&_branch_referrer=H4sIAAAAAAAAAzWM3WrEIBCFn8a9S2I0lW0hlNKyryFGJ8m0%2FjEactdnrxsozMU538ecvdZc3obBoYXe5Nx7jD%2BDzO9MTDLPoLECmcXDrYFEuGE0Xh%2Fk5%2F35yeQHE49253n214ZNodXvtHQOqkHfiuLKcoB75xbFu%2BnlVXXLuEJn5CQmBc6Mq2TycdSgSzrIApNfbUAbD1QLE%2BppAjg8QjMQrtUL2hQrxNootuA9FjBk939rQja4xaZHzkc1ivvtl2AFIoybXiidBWj%2B3CkF%2BAPzUowzCQEAAA%3D%3D; ;
Infinite Computer Solutions (ICS); Implementation Analyst;;1/5/26; https://www.dice.com/job-detail/adbf225b-0f68-4c0f-b079-f92591bdf256?utm_source=job_alerts&utm_medium=email&utm_content=intellisearch&utm_campaign=10016128&%243p=e_iterable&_branch_match_id=1534279828681668966&_branch_referrer=H4sIAAAAAAAAAzWMy2rDMBBFv0bZyQ85duOCKSUhv2EkeWRPqhcjGe%2F67VUMhVncew5zt5xj%2BqzrBTVUMsbKov%2Bpu%2FjFxLWLE8yYgaSycCkgEK7opZ13stP2%2FmTdNxPPcsdxVOeGDq7UV1B8gSzRliIXZYToFW%2FMcONX3Riumo%2BRm1H0Y6sWI%2FqBdc89uzmFnTSw7lEGZmmBcmJieBsHC%2B6uGHDn6gl18Bl8LhRLsBYTSNLbv5UuSlx90W3TtEMrbpdfAgNE6NdZUTgS0HTfKDj4A59K%2BiIJAQAA; ;
Swan Island Networks; Senior Software Engineer (.NET/EF/Azure);;1/5/26; https://www.ziprecruiter.com/jobs/a/b?lk=RpO1qM_bFJqZ_GhBzPmaFA&tsid=111000153; ;
1 point system; Full Stack .Net Developer;50-52/hr;1/5/26; https://www.ziprecruiter.com/jobs/a/b?lk=L6WOzpZzl5V8TQkFfJ6ctA&tsid=111000153; ;
SmartIPlace; Full Stack .NET Developer;50-55/hr;1/5/26; https://www.ziprecruiter.com/jobs/a/b?lk=p07vnOzYd-B-fqUxbNM8zQ&tsid=111000153; ;
Enterprise Recruiting Company; Mid-Level Full Stack Engineer (.NET/React/Microservices);110-120k;1/5/26; https://www.ziprecruiter.com/jobs/a/b?lk=nPqP1s9J08v2EguYilQ0Ig&tsid=111000153; ;
Emergent Software; Senior Software Architect (C# and .NET) - Financial Transactions Specialization; 180-210k/yr;1/5/26; https://www.indeed.com/viewjob?jk=b5c45ade056d47b3&q=c%23&l=Remote&tk=1je2pfol0gkuh83l&from=web&advn=2731245634889771&adid=455271706&ad=-6NYlbfkN0BAezr-5Y981Z1DAlqNgxc_oBTCqSWb7n6OEBzxh4A7sE6jwQ_F1jE0CWVOZ-_9p0_wveBYiRTCj-tUGMuUyoHL5moTyLqkHW1HVQ4nNRQkHy6530M3UUVyPY76s03NNBhx3pZ2g_zprCbFswZ38l6bXAC4IOJcEiLWGm711p-js19orKLs8lRYxOzJoggmUTlO1eScfkf6ghl4XTAXnfYRoj7jfvAp9EOf0uIIx_gjUK07l1CmrGyu6Tp7I34WjdVKtBCtcG1XmoiFKHWh31e1MLBeU7lDOxp9iiPupYTGMruprMAhnj0zK7HZx2w5MRlZdUqHLMuc_vIHWMnhTVJ-HztNuvifmp6u7cXJFAc17ysyuWTtAZaoot19fXW4HVzTYr2qAdxzjLzYtx7q_ThdP4fNltM4Ra2NnUJWD9_b6WxJh48F4QVSPQeFz2BvYXJ2j7XIaWCwtlDZdXOuDMTsVt2CQRRHxKBMK8UXuLmh1duuRK3e-YIvjCOKsfOt2amvJcgKmlTpD9XzGUmT04TKV5YXQL54618%3D&pub=4a1b367933fd867b19b072952f68dceb&camk=UoKtGZLa3XIhfAHIsU7ddQ%3D%3D&xkcb=SoDI6_M3oC6w_vyxc50LbzkdCdPP&xpse=SoBh6_I3oC7ssVyYJx0PbzkdCdPP&xfps=a3cd1b7e-7aa0-4122-952c-89f821cb6603&vjs=3; Rejection; 1/12/26
TTC Inc.; Intermediate Full Stack Developer;;1/5/26; https://www.glassdoor.com/job-listing/intermediate-full-stack-developer-ttc-JV_KO0,33_KE34,37.htm?jl=1009985665565&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos4-age2d-1009985665565&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1je7cp44ii9fg800-13c5ad9d7ab6ba1c&cs=1_696cf82a&s=224&t=JA&pos=104&ja=378462087&guid=0000019b8eae3dec93c9f89ccf504249&jobListingId=1009985665565&ea=1&vt=e&cb=1767627329981&ctt=1767633227814&srs=EMAIL_JOB_ALERT&gdir=1; ;
ScriptPro LLC; Software Engineer;;1/5/26; https://www.glassdoor.com/job-listing/software-engineer-scriptpro-JV_KO0,17_KE18,27.htm?jl=1009982626005&utm_source=jobalert&utm_medium=email&utm_term=jfytspcon&utm_content=ja-jobpos7-age6d-1009982626005&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1je7cp44ii9fg800-541de40233e1224d&cs=1_55032348&s=224&t=JA&pos=107&ja=378462087&guid=0000019b8eae3dec93c9f89ccf504249&jobListingId=1009982626005&ea=1&vt=e&cb=1767627329982&ctt=1767633242752&srs=EMAIL_JOB_ALERT&gdir=1; Rejection; 1/9/26
Natera; Senior Software Engineer;125-156k;1/6/26; https://www.linkedin.com/jobs/view/4351147084/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593108&refId=XxIYry1W99gMA%2FkyOn%2B3lQ%3D%3D&trackingId=lIvrMfqpjcpfYdjZuKymmg%3D%3D; ;
Thrive Financial Inc; Senior Software Engineer;;1/6/26; https://www.linkedin.com/jobs/view/4354325514/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593108&refId=XxIYry1W99gMA%2FkyOn%2B3lQ%3D%3D&trackingId=KXQyJh8CJEPacWKTTEj6Wg%3D%3D; ;
Cambium Learning Group; Senior Software Engineer;;1/6/26; https://www.glassdoor.com/job-listing/senior-software-engineer-cambium-learning-group-JV_KO0,24_KE25,47.htm?jl=1009988278113&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos11-agept-1009988278113&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jeajqua6gqom800-d623452cc0cdd46d&cs=1_897de2e6&s=224&t=JA&pos=111&ja=380629936&guid=0000019b94e69fd1bd3b5e79f7489c10&jobListingId=1009988278113&vt=e&cb=1767735392823&ctt=1767736304205&srs=EMAIL_JOB_ALERT&gdir=1; Rejection; 1/22/26
Peraton; Software Engineer (C# and WPF);80-128k;1/6/26; https://jobright.ai/jobs/info/695c65deaa05c26e7ab5cf36?utm_source=1121&imp_id=3673496432511879909__instant_push__1767732765459_9932&utm_medium=email; Rejection; 1/7/26
Unison; .NET Sr Software Engineer (U.S. Remote);;1/6/26; https://jobright.ai/jobs/info/695d575cfbd62a0a6565f065?utm_source=1121&imp_id=3673496432511879909__instant_push__1767732765459_9932&utm_medium=email; ; 
Tassel; Mid-level Full-Stack Software Engineer (.NET / React / SQL Server);;1/6/26; https://www.linkedin.com/jobs/view/4330376991/?trk=eml-email_jobs_job_application_viewed_01-similar_jobs-0-similar_job&refId=pvZus%2BY%2Be8gyEun9l3DhGw%3D%3D&trackingId=Et2c1%2FL4sTKTKF4qKCtUeA%3D%3D; ;
Jenzabar; Software Developer V;85-105k;1/6/26; https://www.linkedin.com/jobs/view/4330237532/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593100&refId=3kZzAobCXyqqmOs3Bk4RdQ%3D%3D&trackingId=HyuyeLqWfSC%2FksHqYiSJ1Q%3D%3D; Rejection; 1/9/26
Crossing Hurdles; Software Engineer;65-85/hr;1/6/26 ; https://www.linkedin.com/jobs/view/4329875553/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593100&refId=3kZzAobCXyqqmOs3Bk4RdQ%3D%3D&trackingId=ygg1k7o90PqrkQ8%2BLrlN%2BQ%3D%3D; ;
Alvys; Staff Backend Engineer;;1/6/26; https://jobright.ai/jobs/info/695d49f5fbd62a0a6565cec0?utm_source=1121&imp_id=3673496432511879909__instant_push__1767724176966_3977&utm_medium=email; ;
LingaTech; Senior Software Developer;;1/6/26; https://jobright.ai/jobs/info/695c66915e4962051b598275?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1767721825627_2940&utm_medium=email; ;
Nextech Systems; Software Engineer II CRM (Remote - United States);;1/6/26; https://jobright.ai/jobs/info/695d345ffbd62a0a6565c059?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1767721825627_2940&utm_medium=email; Rejection; 1/14/26
Insightsoftware; Software Engineer;;1/7/26; https://jobright.ai/jobs/info/695daaa9f1f8465b79f3f4c9?utm_source=1121&imp_id=3673496432511879909__instant_push__1767796021762_1584&utm_medium=email; ;
The Computer Merchant, LTD; Health Intelligence Programmer;55-60/hr;1/7/26; https://www.monster.com/jobs/search?q=Health+Intelligence+Programmer&where=US&page=1&et=REMOTE&id=4e8de3ad-be55-42f3-95ac-b4777ad8d120&sourceName=distribution_alerts_relevancy&sourceValue=dd5b6caa-b78d-40c0-b366-cface5ae2166&mstr_dist=true&sid=email_file_047dadf7-2b91-4bd7-a0e8-c618112aac37&sts=1767726473396&utm_source=email&utm_medium=email_alerts&utm_campaign=nextalerts_lexemelite&utm_term=usen_MCJOBS_ORGANIC&utm_content=QA_text_body; ;
Noblis; Systems Programmer;127-198k;1/7/26; https://www.monster.com/jobs/search?q=Systems+Programmer&where=Remote%2C+US&page=1&et=REMOTE&id=f9017b28-3453-4667-b787-c408ad7ddff1&sourceName=distribution_alerts_relevancy&sourceValue=dd5b6caa-b78d-40c0-b366-cface5ae2166&mstr_dist=true&sid=email_file_047dadf7-2b91-4bd7-a0e8-c618112aac37&sts=1767726473396&utm_source=email&utm_medium=email_alerts&utm_campaign=nextalerts_lexemelite&utm_term=usen_MCJOBS_ORGANIC&utm_content=ViewJob_text_body; ; ;National Airspace System
Ebsco; Software Dev Engineer II;95-136k;1/7/26; https://www.glassdoor.com/job-listing/software-dev-engineer-ii-ebsco-JV_KO0,24_KE25,30.htm?jl=1009989900616&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos2-agept-1009989900616&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jed3toeugqra800-6d30123ae33f31ba&cs=1_a2bc2f23&s=224&t=JA&pos=102&ja=380629936&guid=0000019b9a0d10c48518d2bf133a3f02&jobListingId=1009989900616&vt=e&cb=1767819371269&ctt=1767822556644&srs=EMAIL_JOB_ALERT&gdir=1; ;
ChurnZero; Full Stack Software Engineer;85-135k;1/7/26; https://www.glassdoor.com/job-listing/full-stack-software-engineer-churnzero-JV_KO0,28_KE29,38.htm?jl=1009988931180&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos5-age1d-1009988931180&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jed3toeugqra800-60d04692ad69d982&cs=1_62b20328&s=224&t=JA&pos=105&ja=380629936&guid=0000019b9a0d10c48518d2bf133a3f02&jobListingId=1009988931180&vt=e&cb=1767819371269&ctt=1767822755068&srs=EMAIL_JOB_ALERT&gdir=1; ;
ACS Technologies Group, Inc.; Software Engineer;;1/7/26; https://www.glassdoor.com/job-listing/software-engineer-acs-technologies-group-JV_KO0,17_KE18,40.htm?jl=1009988600918&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos6-age1d-1009988600918&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jed3toeugqra800-794b08b98a02c9f0&cs=1_b92ff8cb&s=224&t=JA&pos=106&ja=380629936&guid=0000019b9a0d10c48518d2bf133a3f02&jobListingId=1009988600918&vt=e&cb=1767819371270&ctt=1767822755095&srs=EMAIL_JOB_ALERT&gdir=1; ;
Certara; Senior Software Engineer;;1/7/26; https://www.glassdoor.com/job-listing/senior-software-engineer-certara-JV_KO0,24_KE25,32.htm?jl=1009888931789&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos8-age1d-1009888931789&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jed3toeugqra800-9917d273ca63382d&cs=1_1f52fca8&s=224&t=JA&pos=108&ja=380629936&guid=0000019b9a0d10c48518d2bf133a3f02&jobListingId=1009888931789&vt=e&cb=1767819371270&ctt=1767822755154&srs=EMAIL_JOB_ALERT&gdir=1; Rejection; 1/21/26
Apprio, Inc.; Software Engineer;95-100k;1/7/26; https://www.glassdoor.com/job-listing/software-engineer-apprio-JV_KO0,17_KE18,24.htm?jl=1009989153943&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos11-age1d-1009989153943&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jed3toeugqra800-0ce5b557cf8105c9&cs=1_0d7d9971&s=224&t=JA&pos=111&ja=380629936&guid=0000019b9a0d10c48518d2bf133a3f02&jobListingId=1009989153943&vt=e&cb=1767819371273&ctt=1767822827428&srs=EMAIL_JOB_ALERT&gdir=1; ; ; ;CanAide
TEKsystems (Fort Mill SC); Senior .NET Developer; 60-80/hr; 1/8/26; https://www.dice.com/job-detail/045dca4b-bfae-4c9d-bf78-214a1fb8f994; ;
Sriven Systems Inc. (Hybrid - Columbus OH); .Net Developer; ; 1/8/26; https://www.dice.com/job-detail/7f8378b8-ccfb-4018-91f0-1980dbcbcb89; ;
