Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link
Zocalo Health; Senior Software Engineer; 170-180k; 5/5/26;Open; 5/5/26;; https://www.glassdoor.com/job-listing/senior-software-engineer-z%C3%B3calo-health-JV_KO0,24_KE25,38.htm?jl=1010122825330&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos11-agejp-1010122825330&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jnqer4dgjn2o800-8270c41f936f7bd2&cs=1_e9e516d3&s=224&t=JA&pos=111&ja=380629936&guid=0000019df47063f2a099397b9f9f182b&jobListingId=1010122825330&vt=e&cb=1777930703675&ctt=1777942039726&srs=EMAIL_JOB_ALERT&gdir=1
Precision Technologies; .NET Developer (Full-Time) She Returns e invite applications; ; 5/5/26;Open; 5/5/26;; https://www.linkedin.com/jobs/view/4409346759/?skipRedirect=true
Foley; Senior Software Engineer, Backend; ; 5/5/26;Open; 5/5/26;; https://jobright.ai/jobs/info/69d01f6fcdb525785fba7763?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1777998430221_6541&utm_medium=email
Integra Connect; Sr. Software Engineer - Cobol; 90-100k; 5/5/26;Open; 5/5/26;; https://jobright.ai/jobs/info/69fa1f57db88714bcdfc1410?utm_source=1121&imp_id=3673496432511879909__instant_push__1778009106395_3621&utm_medium=email
Eimagine; Senior Software Engineer - .NET; ; 5/5/26;Open; 5/5/26;; https://jobright.ai/jobs/info/69fa282fb1fc847fc1aee899?utm_source=1121&imp_id=3673496432511879909__instant_push__1778009106395_3621&utm_medium=email
Baylor Genetics; Sr. Software Engineer; ; 5/5/26;Open; 5/5/26;; https://www.linkedin.com/jobs/view/4401016171/?skipRedirect=true&trackingId=yuDbnToUxj4ll12I7kawsA%3D%3D&refId=Qm2MC%2BhkS%2FE6zfuHvhVgEw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3JZ-i8tw7AaYg1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4401016171_ssid_14583149772_fmid_mw6pip~mot1j9g8~y8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4401016171_ssid_14583149772_fmid_mw6pip~mot1j9g8~y8-null-mw6pip~mot1j9g8~y8-null-null&eid=mw6pip-mot1j9g8-y8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWVmYjQ4ZWNlZDQ0OTlhYTY4ODZmN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlNmZkYzAwZTllZDdjNTBiOGU3ZTI4YmQ4YzgzMjBjZTI3OGZhOWU2ODVmYzMxYzcsMSwx
Geonetric; Software Developer; 65-115k; 5/7/26; Rejected; 5/22/2026;; https://www.dice.com/job-detail/88d72f5e-2d54-4a31-8e12-2f9b702e3b9b
Y&L Consulting Inc,; Senior Software Developer (backend); ; 5/7/26;Open; 5/7/26;; https://www.dice.com/job-detail/a4d68d2e-1029-45ba-a78a-10e19bd58fca
Kendall Group; Software Engineer; 66112k; 5/7/26;Open; 5/7/26;; https://www.glassdoor.com/job-listing/software-engineer-iris-ia-JV_IC1144394_KO0,17_KE18,25.htm?jl=1010125124098&cs=1_a172f806&s=362&t=REC_JOBS&pos=102&src=GD_JOB_AD&guid=0000019dfaef4cc0951a1298a91f996d&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&jobListingId=1010125124098&ao=1136043&vt=e&jrtk=5-yul1-1-1jo0us9neiudr800-fb81e89e6505c51c&cb=1778172285726&ctt=1778172302304
Gotham Technology Group; Senior Application Developer; ; 5/7/26;Open; 5/7/26;; https://www.linkedin.com/jobs/view/4410590628/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4410590628_ssid_14583149772_fmid_mw6pip~movweywf~wj&refId=wmJFAxnMjxOvbx7q%2Fw6MsA%3D%3D&trackingId=NRsjlkuE3ok6nvgu69Fekw%3D%3D
